Census year,CLUE small area,Trading name,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude
2022,Melbourne (CBD),Sushi Land,Takeaway Food Services,Seats - Outdoor,10,144.9707729,-37.81489298
2022,Melbourne (CBD),Southern Xross Kebabs,Takeaway Food Services,Seats - Indoor,17,144.9543508,-37.81867521
2022,Melbourne (CBD),Spicy Korea,Cafes and Restaurants,Seats - Indoor,46,144.9549044,-37.81802843
2022,Melbourne (CBD),Brim CC,Cafes and Restaurants,Seats - Outdoor,12,144.9549044,-37.81802843
2022,Melbourne (CBD),Henry and the Fox,Cafes and Restaurants,Seats - Outdoor,100,144.9574758,-37.81756267
2022,Melbourne (CBD),Kenny's Bakery Cafe,Takeaway Food Services,Seats - Indoor,10,144.9594432,-37.81730452
2022,Melbourne (CBD),Brown Bagels,Takeaway Food Services,Seats - Outdoor,12,144.9634107,-37.81610875
2022,Melbourne (CBD),Mork Chocolate,Takeaway Food Services,Seats - Outdoor,6,144.9635369,-37.81573295
2022,Melbourne (CBD),The Charles Dickens Tavern,"Pubs, Taverns and Bars",Seats - Indoor,120,144.9643408,-37.8155277
2022,Melbourne (CBD),Little Collins Melbourne,Cafes and Restaurants,Seats - Indoor,70,144.9642254,-37.81528953
2022,Melbourne (CBD),Kim Sing Restaurant,Cafes and Restaurants,Seats - Outdoor,10,144.9657806,-37.81507018
2022,Melbourne (CBD),Momo station,Cafes and Restaurants,Seats - Indoor,34,144.9657806,-37.81507018
2022,Melbourne (CBD),Cafenatics,Takeaway Food Services,Seats - Indoor,20,144.9678477,-37.81450292
2022,Melbourne (CBD),Yakimono,Cafes and Restaurants,Seats - Indoor,252,144.9706863,-37.81363931
2022,Melbourne (CBD),Tsuru,Cafes and Restaurants,Seats - Indoor,50,144.9727054,-37.81289801
2022,Melbourne (CBD),Bar Lourinha,"Pubs, Taverns and Bars",Seats - Outdoor,16,144.9724927,-37.81278437
2022,Melbourne (CBD),Lupino,Cafes and Restaurants,Seats - Indoor,60,144.9723924,-37.8127995
2022,Melbourne (CBD),Lupino,Cafes and Restaurants,Seats - Outdoor,20,144.9723924,-37.8127995
2022,Melbourne (CBD),The Lyceum Club,Clubs (Hospitality),Seats - Indoor,85,144.9725951,-37.81314971
2022,Melbourne (CBD),Zucci,Hairdressing and Beauty Services,Seats - Indoor,14,144.9578138,-37.81636535
2022,Melbourne (CBD),Cafe Felice,Cafes and Restaurants,Seats - Outdoor,40,144.9601729,-37.81549193
2022,Melbourne (CBD),In A Rush Espresso,Cafes and Restaurants,Seats - Outdoor,18,144.9617411,-37.81560564
2022,Melbourne (CBD),Waiters Restaurant,Cafes and Restaurants,Seats - Indoor,45,144.9723505,-37.81207813
2022,Melbourne (CBD),Bourke and Willis,Cafes and Restaurants,Seats - Indoor,40,144.957392,-37.81531894
2022,Melbourne (CBD),Little Cupcakes,Takeaway Food Services,Seats - Outdoor,10,144.957392,-37.81531894
2022,Melbourne (CBD),Hilton Melbourne Little Queen Street,Accommodation,Seats - Indoor,200,144.9595997,-37.8148604
2022,Melbourne (CBD),Triim,Cafes and Restaurants,Seats - Outdoor,40,144.9612043,-37.81385117
